EN_CC_100009.txt	Other	Other
EN_UA_022051.txt	URW: Amplifying war-related fears;URW: Blaming the war on others rather than the invader	URW: Amplifying war-related fears: Russia will also attack other countries;URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_UA_014014.txt	Other	Other
EN_CC_100003.txt	CC: Criticism of climate movement;CC: Criticism of institutions and authorities	CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of institutions and authorities: Criticism of political organizations and figures
EN_CC_100147.txt	Other	Other
EN_UA_100688.txt	URW: Speculating war outcomes	URW: Speculating war outcomes: Ukrainian army is collapsing
EN_UA_012611.txt	URW: Blaming the war on others rather than the invader	URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_UA_102054.txt	URW: Amplifying war-related fears	
EN_CC_200009.txt	CC: Criticism of climate movement;CC: Criticism of climate movement;CC: Controversy about green technologies;CC: Green policies are geopolitical instruments	CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Climate movement is corrupt;CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism
EN_UA_102963.txt	Other	Other
EN_UA_010735.txt	Other	Other
EN_CC_100098.txt	Other	Other
EN_CC_100146.txt	Other	Other
EN_UA_023816.txt	URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Russia is the Victim	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Russia is the Victim: The West is russophobic;URW: Russia is the Victim: UA is anti-RU extremists
EN_UA_104523.txt	URW: Russia is the Victim;URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine;URW: Russia is the Victim;URW: Discrediting Ukraine	URW: Russia is the Victim: Russia actions in Ukraine are only self-defence;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting Ukraine: Ukraine is associated with nazism;URW: Russia is the Victim: UA is anti-RU extremists;URW: Discrediting Ukraine: Ukraine is a puppet of the West
EN_UA_103168.txt	URW: Amplifying war-related fears	
EN_CC_200029.txt	Other	Other
EN_UA_022319.txt	Other	Other
EN_UA_026142.txt	URW: Amplifying war-related fears;URW: Amplifying war-related fears;URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy	URW: Amplifying war-related fears: By continuing the war we risk WWIII;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_UA_025764.txt	URW: Discrediting the West, Diplomacy;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Amplifying war-related fears	URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Amplifying war-related fears: By continuing the war we risk WWIII
EN_CC_100054.txt	Other	Other
EN_UA_004616.txt	Other	Other
EN_UA_100864.txt	URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy;URW: Discrediting the West, Diplomacy;URW: Overpraising the West	URW: Amplifying war-related fears: Russia will also attack other countries;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Overpraising the West: The West belongs in the right side of history
EN_UA_102655.txt	Other	Other
EN_UA_103011.txt	URW: Praise of Russia;CC: Criticism of institutions and authorities;CC: Criticism of institutions and authorities	URW: Praise of Russia: Russian invasion has strong national support;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures
EN_CC_100091.txt	Other	Other
EN_CC_200007.txt	CC: Criticism of institutions and authorities;CC: Criticism of climate policies;CC: Criticism of climate policies	CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of climate policies: Climate policies have negative impact on the economy
EN_CC_100037.txt	CC: Questioning the measurements and science;CC: Criticism of climate movement;CC: Controversy about green technologies;CC: Controversy about green technologies;CC: Controversy about green technologies;CC: Downplaying climate change;CC: Climate change is beneficial	CC: Questioning the measurements and science: Scientific community is unreliable;CC: Criticism of climate movement: Climate movement is alarmist;CC: Controversy about green technologies: Renewable energy is dangerous;CC: Controversy about green technologies: Renewable energy is costly;CC: Controversy about green technologies: Renewable energy is unreliable;CC: Downplaying climate change: CO2 concentrations are too small to have an impact;CC: Climate change is beneficial: CO2 is beneficial
EN_UA_021310.txt	Other	Other
EN_UA_014829.txt	URW: Hidden plots by secret schemes of powerful groups;CC: Hidden plots by secret schemes of powerful groups;URW: Russia is the Victim;URW: Distrust towards Media;URW: Discrediting the West, Diplomacy	URW: Russia is the Victim: The West is russophobic;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Discrediting the West, Diplomacy: The EU is divided
EN_UA_018789.txt	Other	Other
EN_UA_025165.txt	URW: Discrediting the West, Diplomacy;URW: Discrediting the West, Diplomacy;URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Speculating war outcomes;URW: Blaming the war on others rather than the invader	URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: West is tired of Ukraine;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_CC_100047.txt	CC: Criticism of institutions and authorities;CC: Criticism of climate policies;CC: Criticism of climate movement;CC: Criticism of climate movement;URW: Hidden plots by secret schemes of powerful groups;CC: Hidden plots by secret schemes of powerful groups;CC: Controversy about green technologies;CC: Criticism of climate policies	CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Criticism of climate policies: Climate policies are ineffective
EN_CC_100042.txt	Other	Other
EN_CC_200021.txt	CC: Criticism of institutions and authorities;CC: Criticism of climate policies	CC: Criticism of institutions and authorities: Criticism of political organizations and figures
EN_CC_100015.txt	Other	Other
EN_CC_200013.txt	CC: Criticism of climate policies;CC: Criticism of climate policies	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy
EN_UA_101251.txt	URW: Blaming the war on others rather than the invader	URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_CC_100235.txt	Other	Other
EN_UA_024050.txt	URW: Blaming the war on others rather than the invader;URW: Amplifying war-related fears;URW: Amplifying war-related fears;URW: Praise of Russia;URW: Discrediting the West, Diplomacy;URW: Amplifying war-related fears	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Amplifying war-related fears: Russia will also attack other countries;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Praise of Russia: Praise of Russian military might;URW: Discrediting the West, Diplomacy: The West is weak;URW: Amplifying war-related fears: By continuing the war we risk WWIII
